,country_id,country_name,locality_id,locality_name,market_id,market_name,commodityID,commodity,currency_id,currency_name,market_typeID,market_type,measurement_id,unit_goods_measurement,month,year,price,Source
434592,182,Nigeria,65698,Abia,1967,Aba,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2017,16936.0,FEWSNET
434593,182,Nigeria,65698,Abia,1967,Aba,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2017,13615.0,FEWS NET
434594,182,Nigeria,65698,Abia,1967,Aba,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2017,13500.0,FEWS NET
434792,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,1,2015,14000.0,"FEWS NET, Nigeria"
434793,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,2,2015,13640.0,"FEWS NET, Nigeria"
434794,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,3,2015,12560.0,"FEWS NET, Nigeria"
434795,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,4,2015,14000.0,"FEWS NET, Nigeria"
434796,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,5,2015,13800.0,"FEWS NET, Nigeria"
434797,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,8,2015,14000.0,"FEWS NET, Nigeria"
434798,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,9,2015,14000.0,"FEWS NET, Nigeria"
434799,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,10,2015,14000.0,"FEWS NET, Nigeria"
434800,182,Nigeria,2216,Borno,1968,Biu,71,Rice (local),95,NGN,14,Wholesale,9,100 KG,11,2015,13200.0,"FEWS NET, Nigeria"
